file,categoria,data_documento,numero_documento,importo_totale,email,iban,iban_valido,quasi_duplicato_di
doc_0001.pdf,fattura,2026-01-05,FT-2026-88347,4831.9,stefano.bruno@sigmaconsulting.example,IT41F1402612624165460975402,True,
doc_0002.pdf,fattura,2026-05-28,FT-2026-52184,8127.24,elena.ricci@sigmaconsulting.example,IT88V1560898017490613131976,True,
doc_0003.pdf,candidatura,2025-11-10,HR-2025-405,,stefano.bruno@deltaassicurazioni.example,,,
doc_0004.pdf,assistenza,2026-06-14,TCK-112617,,elena.ricci@alfasistemi.example,,,
doc_0005.pdf,assistenza,2025-02-16,TCK-158904,,giulia.bianchi@sigmaconsulting.example,,,
doc_0006.pdf,candidatura,2025-02-26,HR-2025-606,,paolo.colombo@sigmaconsulting.example,,,
doc_0007.pdf,assistenza,2026-05-12,TCK-140789,,davide.conti@gammaenergia.example,,,
doc_0008.pdf,reclamo,2026-05-03,REC-2026-2811,,paolo.colombo@betalogistica.example,,,
doc_0009.pdf,contratto,2025-05-11,CTR-2025-1946,,elena.ricci@deltaassicurazioni.example,,,
doc_0010.pdf,fattura,2025-01-31,FT-2025-62461,9241.38,francesca.russo@gammaenergia.example,IT73D5896397595284905180422,True,
doc_0011.pdf,contratto,2025-12-22,CTR-2025-9620,,luca.ferrari@betalogistica.example,,,
doc_0012.pdf,contratto,2025-12-20,CTR-2025-5221,,chiara.greco@alfasistemi.example,,,
doc_0013.pdf,contratto,2026-07-09,CTR-2026-6698,,elena.ricci@alfasistemi.example,,,
doc_0014.pdf,reclamo,2025-05-30,REC-2025-2143,,luca.ferrari@omegatrasporti.example,,,
doc_0015.pdf,candidatura,2025-06-22,HR-2025-475,,elena.ricci@deltaassicurazioni.example,,,
doc_0016.pdf,contratto,2025-04-10,CTR-2025-7023,,stefano.bruno@omegatrasporti.example,,,
doc_0017.pdf,assistenza,2026-04-24,TCK-104307,,chiara.greco@alfasistemi.example,,,
doc_0018.pdf,fattura,2025-08-27,FT-2025-53139,7590.54,paolo.colombo@betalogistica.example,,,
doc_0019.pdf,candidatura,2025-08-31,HR-2025-738,,davide.conti@alfasistemi.example,,,
doc_0020.pdf,assistenza,2026-01-07,TCK-189213,,paolo.colombo@sigmaconsulting.example,,,
doc_0021.pdf,assistenza,2026-08-20,TCK-199820,,paolo.colombo@omegatrasporti.example,,,
doc_0022.pdf,assistenza,2026-01-08,TCK-118665,,stefano.bruno@alfasistemi.example,,,
doc_0023.pdf,fattura,2025-12-31,FT-2025-39227,1936.97,andrea.marino@alfasistemi.example,,,
doc_0024.pdf,assistenza,2025-03-15,TCK-152329,,chiara.greco@alfasistemi.example,,,
doc_0025.pdf,candidatura,2025-07-27,HR-2025-115,,andrea.marino@omegatrasporti.example,,,
doc_0026.pdf,contratto,2025-04-25,CTR-2025-3878,,davide.conti@alfasistemi.example,,,
doc_0027.pdf,contratto,2025-09-29,CTR-2025-8438,,francesca.russo@betalogistica.example,,,
doc_0028.pdf,reclamo,2026-03-18,REC-2026-6582,,giulia.bianchi@alfasistemi.example,,,
doc_0029.pdf,candidatura,2026-05-12,HR-2026-220,,sara.gallo@omegatrasporti.example,,,
doc_0030.pdf,reclamo,2025-07-29,REC-2025-9451,,andrea.marino@omegatrasporti.example,,,
doc_0031.pdf,assistenza,2026-01-27,TCK-174607,,marta.de.luca@omegatrasporti.example,,,
doc_0032.pdf,assistenza,2026-03-10,TCK-157465,,luca.ferrari@sigmaconsulting.example,,,
doc_0033.pdf,assistenza,2025-08-29,TCK-105673,,giulia.bianchi@gammaenergia.example,,,
doc_0034.pdf,assistenza,2025-09-02,TCK-182701,,mario.rossi@gammaenergia.example,,,
doc_0035.pdf,candidatura,2025-01-22,HR-2025-653,,mario.rossi@deltaassicurazioni.example,,,
doc_0036.pdf,candidatura,2026-02-16,HR-2026-118,,davide.conti@deltaassicurazioni.example,,,doc_0152.pdf
doc_0037.pdf,candidatura,2025-02-03,HR-2025-124,,giulia.bianchi@gammaenergia.example,,,
doc_0038.pdf,assistenza,2025-01-20,TCK-134923,,davide.conti@deltaassicurazioni.example,,,
doc_0039.pdf,contratto,2025-01-29,CTR-2025-8544,,chiara.greco@omegatrasporti.example,,,
